Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting,0.6576,0.7068,0.4552,0.6704,0.5422,0.2844,0.2981,0.374
Ada Boost,0.6402,0.6810,0.4361,0.6415,0.5192,0.2481,0.2599,0.212
K Neighbors,0.6103,0.6364,0.5311,0.5667,0.5483,0.2062,0.2066,0.679
DTC,0.6048,0.6071,0.4779,0.5669,0.5186,0.1876,0.1895,0.082
LR,0.5801,0.6063,0.3512,0.5445,0.4270,0.1194,0.1266,0.222
SVM,0.5769,0.0000,0.3926,0.5350,0.4499,0.1206,0.1250,0.056
